sample;var_A1;var_A2;var_A3;var_A4;var_A5;var_B1;var_B2;var_B3;var_B4;var_B5;class;brand
product_1;1.2591;104.28;0.28497;1.6191;0.61878;4.131;125.667;16.515;152.775;10.008;market_2;brand_8
product_2;4.5465;45.912;2.261946;1.5741;0.67137;8.70669;1177.7076;236.6721;1374.3558;116.9766;market_1;brand_1
product_3;5.1597;59.529;2.262039;1.8237;0.72789;12.36825;1498.9995;302.0859;1735.6041;147.8637;market_2;brand_1
product_4;5.9304;140.61;1.42791;3.9018;1.2954;18.5967;3339.0648;564.3792;3854.5506;280.899;market_1;brand_1
product_5;8.0235;280.848;1.79742;3.8799;1.3254;27.5013;3925.3275;685.5867;4701.0105;330.147;market_2;brand_6
product_6;9.696;392.62;0.56796;5.0493;1.5711;26.1807;5320.0026;729.1323;6808.5009;388.0242;market_2;brand_4
product_7;9.7842;153.363;2.26068;3.0963;1.1565;25.43085;2382.1434;494.4321;2574.5643;200.8431;market_1;brand_2
product_8;10.287;212.2035;7.15374;4.6824;1.476;24.9672;3706.3143;689.7528;4371.2631;335.1843;market_1;brand_5
product_9;11.763;319.6972727;0.977865;3.4026;1.2783;25.86195;4094.019;651.6936;5072.0778;306.2601;market_1;brand_1
product_10;15.816;1754.1;0.288;4.7784;1.632;46.935;4079.4273;749.5191;5261.9076;356.247;market_2;brand_3
product_11;16.596;667.439875;2.655831;5.8773;2.0247;56.7162;5504.6493;1045.1016;6494.3001;457.4223;market_2;brand_7
product_12;17.541;285.79;1.42725;4.1373;1.4415;32.62365;3083.6403;585.6174;3562.3053;267.9939;market_1;brand_5
product_13;23.208;1618.2;0.2846388;10.905;3.1542;89.76735;11319.4089;2437.4871;11654.2017;923.7258;market_2;brand_3
product_14;28.389;1982.05;1.056228;5.8128;2.0271;35.8947;4728.1482;819.2583;5903.8101;379.2069;market_1;brand_1
product_15;28.62;709.29;2.10678;8.2593;2.3268;51.1386;6315.3801;1119.2067;7859.5191;524.6523;market_2;brand_4
product_16;31.491;1042.8;1.132956;7.7109;2.3952;74.0313;6439.7511;1335.0123;7786.9692;558.3816;market_1;brand_5
product_17;34.452;1298.85;0.71484;7.3956;2.5374;64.0161;6262.1955;1298.0142;7291.1205;529.2369;market_1;brand_5
product_18;35.7525;2051.4;0.1130811;7.8621;2.4486;75.9726;5718.0717;1255.0824;6718.086;494.1639;market_2;brand_6
product_19;43.752;444.9428846;1.422057;7.0362;2.2836;66.4488;4805.4708;966.2202;5320.4112;377.1297;market_2;brand_3
product_20;48.636;1093.036765;3.339162;17.973;5.1177;158.748;13533.6789;3332.2689;12449.5227;1088.442;market_2;brand_7
product_21;58.866;1650;2.260893;9.822;3.447;105.5655;9123.9588;1910.2626;9284.6043;690.8868;market_1;brand_1
product_22;60.066;1585.5;1.673508;8.2281;2.8227;71.4672;5644.0215;1307.9736;6554.304;483.9876;market_1;brand_1
product_23;63.495;3073.2;1.427634;9.558;3.291;58.9707;6273.1053;1419.1101;7565.6376;537.1452;market_1;brand_1
product_24;64.323;1257.829412;3.58509;12.06;3.63;112.821;7601.5035;1667.106;8930.9925;655.1109;market_2;brand_7
product_25;80.262;3051;1.425603;9.6018;2.9175;108.0585;8565.3792;1803.1464;9814.1364;716.8293;market_1;brand_1
product_26;99.04275;4287;1.54899;20.1465;6.2775;108.258;12567.6207;2923.56;12538.0278;1026.4113;market_1;brand_2
product_27;105.57;5460.954167;0.5284752;12.915;3.6039;99.63;8704.6155;1771.9191;9916.9605;723.5955;market_2;brand_3
product_28;128.43;1572.3;5.679;10.722;3.3741;127.008;9380.3373;2420.9523;9903.3237;807.3567;market_1;brand_1
product_29;171.78;5613;1.230483;21.138;6.3372;171.882;10943.7048;2393.1927;11314.4994;828.7605;market_2;brand_3
